"","Materia","MeanIntSiCert","MaxIntSiCert","MedianIntSiCert","ModeIntSiCert"
"1240.1","CALCULO DIFERENCIAL INTEGRAL",5.5,18,4,2
"1163","SOCIOANTROPOLOGIA POLITICA",3,3,3,3
"82","ATMOSFERA Y CAMBIO CLIMATICO",2.57142857142857,5,2,2
"632","INGENIERIA DE PROTEINAS",2.5,4,2.5,1
"422","FARMACOLOGIA Y TOXICOLOGIA",2.48780487804878,5,3,3
"521","GENOMICA II",2.4,5,2,1
"816","METAFISICA",2.28571428571429,4,2,1
"421","FARMACOLOGIA",2.16010854816825,15,2,1
"1054","RESOLUCION DE CONFLICTOS SOCIOAMBIENTALES",2.15384615384615,3,2,2
"873","NOSOLOGIA I",2.1,4,2,2
"42","ANALISIS DEL TRANSPORTE COMO UN SISTEMA COMPLEJO Y DINAMICO",2,2,2,2
"166","CONTAMINACION AMBIENTAL Y CAMBIO CLIMATICO",2,3,2,1
"174","CORRIENTES LITERARIAS MODERNAS Y CONTEMPORANEAS",2,2,2,2
"208","DE ALTEPETL AL AYUNTAMIENTO CONSTITUCIONAL. TIERRA Y GOBIERNO DE LOS PUEBLOS",2,2,2,2
"272","ECOLOGIA Y CAMBIO CLIMATICO",2,4,2,1
"285","EDUCACION AMBIENTAL",2,3,2,1
"329","ENERGIA Y AMBIENTE Y SU RELACION CON EL CAMBIO CLIMATICO",2,3,2,1
"494","FORMACIONES IMPERIALES CONTEMPORANEAS E IMPERIALISMO",2,2,2,2
"513","FUNDAMENTOS Y PROGRAMACION DE LOS CONTROLADORES LOGICOS PROGRAMABLES",2,5,1,1
"528","GESTION AMBIENTAL Y AUDITORIAS PARA EMPRESAS SUSTENTABLES",2,3,2,1
"622","IGUALDAD SOCIAL",2,2,2,2
"690","KARL MARX",2,2,2,2
"703","LA FENOMENOLOGIA DEL ESPIRITU DE HEGEL II",2,2,2,2
"1130","SISTEMAS DE INFORMACION GEOGRAFICA PARA EL ANALISIS DEL CLIMA Y MEDIO AMBIENTE",2,3,2,1
