"","Var1","Var2","Var3","Freq"
"1","01","CH","C",1709
"2","02","CH","C",466
"3","03","CH","C",1051
"4","04","CH","C",1493
"5","05","CH","C",896
"6","06","CH","C",1075
"7","07","CH","C",1482
"8","08","CH","C",1914
"9","09","CH","C",4447
"10","10","CH","C",4204
"11","11","CH","C",4850
"12","12","CH","C",2501
"13","13","CH","C",4493
"14","14","CH","C",5345
"15","15","CH","C",6242
"16","16","CH","C",6111
"17","17","CH","C",6225
"18","18","CH","C",6686
"19","19","CH","C",6950
"20","20","CH","C",3487
"21","21","CH","C",9585
"22","22","CH","C",3104
"23","01","GAM","C",3950
"24","02","GAM","C",0
"25","03","GAM","C",0
"26","04","GAM","C",0
"27","05","GAM","C",0
"28","06","GAM","C",0
"29","07","GAM","C",0
"30","08","GAM","C",1622
"31","09","GAM","C",6951
"32","10","GAM","C",7147
"33","11","GAM","C",8846
"34","12","GAM","C",5264
"35","13","GAM","C",10846
"36","14","GAM","C",12594
"37","15","GAM","C",14426
"38","16","GAM","C",16010
"39","17","GAM","C",16896
"40","18","GAM","C",17182
"41","19","GAM","C",18591
"42","20","GAM","C",9168
"43","21","GAM","C",26384
"44","22","GAM","C",8335
"45","01","DV","C",1046
"46","02","DV","C",114
"47","03","DV","C",426
"48","04","DV","C",1234
"49","05","DV","C",814
"50","06","DV","C",646
"51","07","DV","C",1336
"52","08","DV","C",1903
"53","09","DV","C",3302
"54","10","DV","C",2585
"55","11","DV","C",2716
"56","12","DV","C",1454
"57","13","DV","C",3260
"58","14","DV","C",3377
"59","15","DV","C",3725
"60","16","DV","C",3593
"61","17","DV","C",3700
"62","18","DV","C",4496
"63","19","DV","C",5026
"64","20","DV","C",2559
"65","21","DV","C",7514
"66","22","DV","C",2274
"67","01","IZT","C",1636
"68","02","IZT","C",258
"69","03","IZT","C",1347
"70","04","IZT","C",2164
"71","05","IZT","C",2340
"72","06","IZT","C",2287
"73","07","IZT","C",2391
"74","08","IZT","C",2706
"75","09","IZT","C",4559
"76","10","IZT","C",3534
"77","11","IZT","C",4179
"78","12","IZT","C",2232
"79","13","IZT","C",4031
"80","14","IZT","C",4153
"81","15","IZT","C",4557
"82","16","IZT","C",4872
"83","17","IZT","C",5320
"84","18","IZT","C",5854
"85","19","IZT","C",6946
"86","20","IZT","C",4015
"87","21","IZT","C",11323
"88","22","IZT","C",4060
"89","01","SLT","C",9562
"90","02","SLT","C",2
"91","03","SLT","C",48
"92","04","SLT","C",656
"93","05","SLT","C",2299
"94","06","SLT","C",8854
"95","07","SLT","C",13483
"96","08","SLT","C",18035
"97","09","SLT","C",30956
"98","10","SLT","C",22883
"99","11","SLT","C",25113
"100","12","SLT","C",13004
"101","13","SLT","C",24282
"102","14","SLT","C",24967
"103","15","SLT","C",25280
"104","16","SLT","C",25648
"105","17","SLT","C",24879
"106","18","SLT","C",24555
"107","19","SLT","C",25053
"108","20","SLT","C",11794
"109","21","SLT","C",38172
"110","22","SLT","C",11610
"111","01","PESCER","C",498
"112","02","PESCER","C",0
"113","03","PESCER","C",0
"114","04","PESCER","C",0
"115","05","PESCER","C",0
"116","06","PESCER","C",343
"117","07","PESCER","C",614
"118","08","PESCER","C",813
"119","09","PESCER","C",1727
"120","10","PESCER","C",1505
"121","11","PESCER","C",1112
"122","12","PESCER","C",510
"123","13","PESCER","C",1071
"124","14","PESCER","C",1153
"125","15","PESCER","C",1055
"126","16","PESCER","C",1417
"127","17","PESCER","C",1346
"128","18","PESCER","C",1432
"129","19","PESCER","C",1384
"130","20","PESCER","C",322
"131","21","PESCER","C",248
"132","22","PESCER","C",304
"133","01","CH","NC",980
"134","02","CH","NC",1510
"135","03","CH","NC",1062
"136","04","CH","NC",1222
"137","05","CH","NC",939
"138","06","CH","NC",1195
"139","07","CH","NC",2076
"140","08","CH","NC",2300
"141","09","CH","NC",4528
"142","10","CH","NC",3851
"143","11","CH","NC",3395
"144","12","CH","NC",1670
"145","13","CH","NC",2459
"146","14","CH","NC",2725
"147","15","CH","NC",3787
"148","16","CH","NC",2999
"149","17","CH","NC",2710
"150","18","CH","NC",2596
"151","19","CH","NC",2424
"152","20","CH","NC",1470
"153","21","CH","NC",2873
"154","22","CH","NC",951
"155","01","GAM","NC",1388
"156","02","GAM","NC",0
"157","03","GAM","NC",0
"158","04","GAM","NC",0
"159","05","GAM","NC",0
"160","06","GAM","NC",0
"161","07","GAM","NC",0
"162","08","GAM","NC",1474
"163","09","GAM","NC",6086
"164","10","GAM","NC",4267
"165","11","GAM","NC",3976
"166","12","GAM","NC",2279
"167","13","GAM","NC",4449
"168","14","GAM","NC",4519
"169","15","GAM","NC",4667
"170","16","GAM","NC",5349
"171","17","GAM","NC",5607
"172","18","GAM","NC",4997
"173","19","GAM","NC",4863
"174","20","GAM","NC",3183
"175","21","GAM","NC",7111
"176","22","GAM","NC",2214
"177","01","DV","NC",557
"178","02","DV","NC",120
"179","03","DV","NC",159
"180","04","DV","NC",289
"181","05","DV","NC",465
"182","06","DV","NC",494
"183","07","DV","NC",921
"184","08","DV","NC",1866
"185","09","DV","NC",2925
"186","10","DV","NC",1708
"187","11","DV","NC",2098
"188","12","DV","NC",786
"189","13","DV","NC",1658
"190","14","DV","NC",1890
"191","15","DV","NC",1853
"192","16","DV","NC",1713
"193","17","DV","NC",1623
"194","18","DV","NC",1932
"195","19","DV","NC",2007
"196","20","DV","NC",1333
"197","21","DV","NC",2623
"198","22","DV","NC",863
"199","01","IZT","NC",826
"200","02","IZT","NC",448
"201","03","IZT","NC",996
"202","04","IZT","NC",2548
"203","05","IZT","NC",2503
"204","06","IZT","NC",2325
"205","07","IZT","NC",2404
"206","08","IZT","NC",2598
"207","09","IZT","NC",4222
"208","10","IZT","NC",2716
"209","11","IZT","NC",2416
"210","12","IZT","NC",1185
"211","13","IZT","NC",2255
"212","14","IZT","NC",2332
"213","15","IZT","NC",2428
"214","16","IZT","NC",2494
"215","17","IZT","NC",2487
"216","18","IZT","NC",2712
"217","19","IZT","NC",2999
"218","20","IZT","NC",1774
"219","21","IZT","NC",3689
"220","22","IZT","NC",1284
"221","01","SLT","NC",3752
"222","02","SLT","NC",9
"223","03","SLT","NC",20
"224","04","SLT","NC",538
"225","05","SLT","NC",2309
"226","06","SLT","NC",10799
"227","07","SLT","NC",16304
"228","08","SLT","NC",20715
"229","09","SLT","NC",28648
"230","10","SLT","NC",16299
"231","11","SLT","NC",13310
"232","12","SLT","NC",6532
"233","13","SLT","NC",10347
"234","14","SLT","NC",11015
"235","15","SLT","NC",10370
"236","16","SLT","NC",10170
"237","17","SLT","NC",10312
"238","18","SLT","NC",10105
"239","19","SLT","NC",9745
"240","20","SLT","NC",4684
"241","21","SLT","NC",12502
"242","22","SLT","NC",3440
"243","01","PESCER","NC",269
"244","02","PESCER","NC",0
"245","03","PESCER","NC",0
"246","04","PESCER","NC",0
"247","05","PESCER","NC",0
"248","06","PESCER","NC",129
"249","07","PESCER","NC",321
"250","08","PESCER","NC",353
"251","09","PESCER","NC",681
"252","10","PESCER","NC",494
"253","11","PESCER","NC",543
"254","12","PESCER","NC",323
"255","13","PESCER","NC",424
"256","14","PESCER","NC",379
"257","15","PESCER","NC",331
"258","16","PESCER","NC",407
"259","17","PESCER","NC",324
"260","18","PESCER","NC",427
"261","19","PESCER","NC",342
"262","20","PESCER","NC",606
"263","21","PESCER","NC",570
"264","22","PESCER","NC",188
