"","CH","GAM","DV","IZT","SLT","PESCER"
"ISET",4628,18211,93,14183,36856,29
"AyPC",30861,17043,1065,1988,41305,38
"CPyAU",3875,36315,36016,54457,116407,1436
"CAyCC",6,15,76,1465,2238,0
"GENOMICAS",166,119,5886,62,460,0
"CiSOC",588,14410,206,588,29077,0
"COMYCULT",45230,42077,1413,9207,141630,113
"CREACION",1966,11903,24891,288,25837,383
"DERECHO",1805,30905,611,1011,3095,21794
"FEHDI",1151,7957,12888,421,20571,61
"HISTYSOCCON",884,9658,2018,339,25619,0
"SOFTWARE",618,11688,84,550,16902,33
"ISTU",9672,7889,42,626,14664,5
"ISEI",1772,10348,166,6625,25524,21
"ISENER",236,160,59,205,8701,0
"MODELACION",142,827,61,1888,4698,28
"NUTRICION",211,6585,234,5028,9378,0
"PROMOCION",30101,21931,1158,35379,65514,24
"PROTECCION",126,2600,16,95,4584,0
