"","Var1","Var2","Var3","Freq"
"1","CH","C","01",1709
"2","GAM","C","01",3950
"3","DV","C","01",1046
"4","IZT","C","01",1636
"5","SLT","C","01",9562
"6","PESCER","C","01",498
"7","CH","NC","01",980
"8","GAM","NC","01",1388
"9","DV","NC","01",557
"10","IZT","NC","01",826
"11","SLT","NC","01",3752
"12","PESCER","NC","01",269
"13","CH","C","02",466
"14","GAM","C","02",0
"15","DV","C","02",114
"16","IZT","C","02",258
"17","SLT","C","02",2
"18","PESCER","C","02",0
"19","CH","NC","02",1510
"20","GAM","NC","02",0
"21","DV","NC","02",120
"22","IZT","NC","02",448
"23","SLT","NC","02",9
"24","PESCER","NC","02",0
"25","CH","C","03",1051
"26","GAM","C","03",0
"27","DV","C","03",426
"28","IZT","C","03",1347
"29","SLT","C","03",48
"30","PESCER","C","03",0
"31","CH","NC","03",1062
"32","GAM","NC","03",0
"33","DV","NC","03",159
"34","IZT","NC","03",996
"35","SLT","NC","03",20
"36","PESCER","NC","03",0
"37","CH","C","04",1493
"38","GAM","C","04",0
"39","DV","C","04",1234
"40","IZT","C","04",2164
"41","SLT","C","04",656
"42","PESCER","C","04",0
"43","CH","NC","04",1222
"44","GAM","NC","04",0
"45","DV","NC","04",289
"46","IZT","NC","04",2548
"47","SLT","NC","04",538
"48","PESCER","NC","04",0
"49","CH","C","05",896
"50","GAM","C","05",0
"51","DV","C","05",814
"52","IZT","C","05",2340
"53","SLT","C","05",2299
"54","PESCER","C","05",0
"55","CH","NC","05",939
"56","GAM","NC","05",0
"57","DV","NC","05",465
"58","IZT","NC","05",2503
"59","SLT","NC","05",2309
"60","PESCER","NC","05",0
"61","CH","C","06",1075
"62","GAM","C","06",0
"63","DV","C","06",646
"64","IZT","C","06",2287
"65","SLT","C","06",8854
"66","PESCER","C","06",343
"67","CH","NC","06",1195
"68","GAM","NC","06",0
"69","DV","NC","06",494
"70","IZT","NC","06",2325
"71","SLT","NC","06",10799
"72","PESCER","NC","06",129
"73","CH","C","07",1482
"74","GAM","C","07",0
"75","DV","C","07",1336
"76","IZT","C","07",2391
"77","SLT","C","07",13483
"78","PESCER","C","07",614
"79","CH","NC","07",2076
"80","GAM","NC","07",0
"81","DV","NC","07",921
"82","IZT","NC","07",2404
"83","SLT","NC","07",16304
"84","PESCER","NC","07",321
"85","CH","C","08",1914
"86","GAM","C","08",1622
"87","DV","C","08",1903
"88","IZT","C","08",2706
"89","SLT","C","08",18035
"90","PESCER","C","08",813
"91","CH","NC","08",2300
"92","GAM","NC","08",1474
"93","DV","NC","08",1866
"94","IZT","NC","08",2598
"95","SLT","NC","08",20715
"96","PESCER","NC","08",353
"97","CH","C","09",4447
"98","GAM","C","09",6951
"99","DV","C","09",3302
"100","IZT","C","09",4559
"101","SLT","C","09",30956
"102","PESCER","C","09",1727
"103","CH","NC","09",4528
"104","GAM","NC","09",6086
"105","DV","NC","09",2925
"106","IZT","NC","09",4222
"107","SLT","NC","09",28648
"108","PESCER","NC","09",681
"109","CH","C","10",4204
"110","GAM","C","10",7147
"111","DV","C","10",2585
"112","IZT","C","10",3534
"113","SLT","C","10",22883
"114","PESCER","C","10",1505
"115","CH","NC","10",3851
"116","GAM","NC","10",4267
"117","DV","NC","10",1708
"118","IZT","NC","10",2716
"119","SLT","NC","10",16299
"120","PESCER","NC","10",494
"121","CH","C","11",4850
"122","GAM","C","11",8846
"123","DV","C","11",2716
"124","IZT","C","11",4179
"125","SLT","C","11",25113
"126","PESCER","C","11",1112
"127","CH","NC","11",3395
"128","GAM","NC","11",3976
"129","DV","NC","11",2098
"130","IZT","NC","11",2416
"131","SLT","NC","11",13310
"132","PESCER","NC","11",543
"133","CH","C","12",2501
"134","GAM","C","12",5264
"135","DV","C","12",1454
"136","IZT","C","12",2232
"137","SLT","C","12",13004
"138","PESCER","C","12",510
"139","CH","NC","12",1670
"140","GAM","NC","12",2279
"141","DV","NC","12",786
"142","IZT","NC","12",1185
"143","SLT","NC","12",6532
"144","PESCER","NC","12",323
"145","CH","C","13",4493
"146","GAM","C","13",10846
"147","DV","C","13",3260
"148","IZT","C","13",4031
"149","SLT","C","13",24282
"150","PESCER","C","13",1071
"151","CH","NC","13",2459
"152","GAM","NC","13",4449
"153","DV","NC","13",1658
"154","IZT","NC","13",2255
"155","SLT","NC","13",10347
"156","PESCER","NC","13",424
"157","CH","C","14",5345
"158","GAM","C","14",12594
"159","DV","C","14",3377
"160","IZT","C","14",4153
"161","SLT","C","14",24967
"162","PESCER","C","14",1153
"163","CH","NC","14",2725
"164","GAM","NC","14",4519
"165","DV","NC","14",1890
"166","IZT","NC","14",2332
"167","SLT","NC","14",11015
"168","PESCER","NC","14",379
"169","CH","C","15",6242
"170","GAM","C","15",14426
"171","DV","C","15",3725
"172","IZT","C","15",4557
"173","SLT","C","15",25280
"174","PESCER","C","15",1055
"175","CH","NC","15",3787
"176","GAM","NC","15",4667
"177","DV","NC","15",1853
"178","IZT","NC","15",2428
"179","SLT","NC","15",10370
"180","PESCER","NC","15",331
"181","CH","C","16",6111
"182","GAM","C","16",16010
"183","DV","C","16",3593
"184","IZT","C","16",4872
"185","SLT","C","16",25648
"186","PESCER","C","16",1417
"187","CH","NC","16",2999
"188","GAM","NC","16",5349
"189","DV","NC","16",1713
"190","IZT","NC","16",2494
"191","SLT","NC","16",10170
