"","Materia","MaxIntSiCert","MeanIntSiCert","ModeIntSiCert"
"1","MECANICA I",28,1.65700141442716,1
"2","MECANICA I",28,1.66619718309859,1
"3","CALCULO DIFERENCIAL",19,1.8326359832636,1
"4","CALCULO DIFERENCIAL E INTEGRAL",18,5.5,2
"5","CALCULO DIFERENCIAL INTEGRAL",18,5.5,2
"6","ESTUDIOS SOCIALES E HISTORICOS II",17,1.56661891117479,1
"7","ESTUDIOS SOCIALES E HISTORICOS II MOD-II",17,1.57736389684814,1
"8","ESTADISTICA Y PROBABILIDAD",16,1.4982332155477,1
"9","ALGEBRA Y GEOMETRIA ANALITICA",15,1.67654686921082,1
"10","DISPOSITIVOS ELECTRONICOS I",15,1.57894736842105,1
"11","FARMACOLOGIA",15,2.16010854816825,1
"12","TEORIA POLITICA II",15,1.82658959537572,1
"13","LENGUAJE Y PENSAMIENTO II",14,1.62998352553542,1
"14","MECANICA II",14,1.42496050552923,1
"15","QUIMICA DE LA CELULA",14,1.90182328190743,1
"16","ALGEBRA LINEAL",13,1.76672240802676,1
"17","CALCULO INTEGRAL",13,1.77497749774977,1
"18","CULTURA CIENTIFICA Y HUMANISTICA II",13,1.61735537190083,1
"19","ENFOQUES CRITICOS EN COMUNICACION",13,1.46200607902736,1
"20","INGLES II",13,1.5935650887574,1
"21","TEORIA POLITICA I",13,1.88921933085502,1
"22","CRITICA A LA ILUSTRACION",12,1.5340206185567,1
"23","CULTURA CIENTIFICA Y HUMANISTICA I",12,1.48499754058042,1
"24","PLANEACION CON PARTICIPACION EN LA CIUDAD DE MEXICO",12,1.33454545454545,1
"25","CELULA II",11,1.78881118881119,1
"26","CULTURA CIENTIFICA Y HUMANISTICA III",11,1.5285350781534,1
"27","DECISION POLITICA Y POLITICAS PUBLICAS",11,1.33734939759036,1
"28","INTRODUCCION A LA PROGRAMACION",11,1.52448453608247,1
"29","LA INVESTIGACION DE LA PRODUCCION LOS DISCURSOS Y LA RECEPCION DE LOS MEDIOS DE COMUNICACION",11,1.44148936170213,1
"30","LA INVESTIGACION DE LA PRODUCCION LOS DISCURSOS Y LA RECEPCION DE LOS MEDIOS DE COMUNICACION",11,1.45212765957447,1
"31","LENGUAJE Y PENSAMIENTO III",11,1.6817880794702,1
"32","TEORIA DE LOS CIRCUITOS",11,1.91762013729977,1
"33","ANALISIS POLITICO CON METODOS CUANTITATIVOS",10,1.35940409683426,1
"34","BIOESTADISTICA",10,1.66161616161616,1
"35","BIOETICA Y VALORES",10,1.50625,1
"36","CELULA I",10,1.71953781512605,1
"37","CUERPO HUMANO I",10,1.6912209889001,1
"38","CUERPO HUMANO II",10,1.77168949771689,1
"39","ECUACIONES DIFERENCIALES ORDINARIAS",10,1.5387323943662,1
"40","ECUACIONES DIFERENCIALES ORDINARIAS",10,1.58844133099825,1
"41","ESTUDIOS SOCIALES E HISTORICOS I",10,1.53918090938407,1
"42","ESTUDIOS SOCIALES E HISTORICOS I MOD-I",10,1.54771115409413,1
"43","HISTORIA DE MEXICO DEL SIGLO XIX",10,1.60869565217391,1
"44","INGLES III",10,1.56501547987616,1
"45","INTRODUCCION A LA FILOSOFIA",10,1.51639344262295,1
"46","LECTURA DE TEXTOS EN INGLES I",10,1.54625550660793,1
"47","LECTURA DE TEXTOS EN INGLES II",10,1.71003039513678,1
"48","LEGISLACION DEL PATRIMONIO CULTURAL Y ARTISTICO",10,1.56214689265537,1
"49","POLITICAS Y PLANES DE SALUD",10,1.45652173913043,1
"50","PSICOLOGIA SOCIAL I",10,1.37121212121212,1
"51","PSICOLOGIA SOCIAL I",10,1.38432835820896,1
"52","QUIMICA GENERAL",10,1.68595041322314,1
"53","TEORIA DE LA ORGANIZACION EN EL CONTEXTO GLOBAL",10,1.33081285444234,1
"54","TEORIA POLITICA III",10,1.81387478849408,1
"55","ANTROPOLOGIA DE LA CULTURA Y EL ARTE",9,1.48763250883392,1
"56","CALCULO VECTORIAL",9,1.55798319327731,1
"57","COMUNICACION GRAFICA Y DISEnO EDITORIAL",9,1.43589743589744,1
