"","Materia","MeanIntSiCert","MaxIntSiCert","MedianIntSiCert","ModeIntSiCert"
"1","CALCULO DIFERENCIAL E INTEGRAL",5.5,18,4,2
"2","CALCULO DIFERENCIAL INTEGRAL",5.5,18,4,2
"3","SOCIOANTROPOLOGIA POLITICA",3,3,3,3
"4","ATMOSFERA Y CAMBIO CLIMATICO",2.57142857142857,5,2,2
"5","INGENIERIA DE PROTEINAS",2.5,4,2.5,1
"6","FARMACOLOGIA Y TOXICOLOGIA",2.48780487804878,5,3,3
"7","GENOMICA II",2.4,5,2,1
"8","METAFISICA",2.28571428571429,4,2,1
"9","FARMACOLOGIA",2.16010854816825,15,2,1
"10","RESOLUCION DE CONFLICTOS SOCIOAMBIENTALES",2.15384615384615,3,2,2
"11","NOSOLOGIA I",2.1,4,2,2
"12","ANALISIS DEL TRANSPORTE COMO UN SISTEMA COMPLEJO Y DINAMICO",2,2,2,2
"13","CONTAMINACION AMBIENTAL Y CAMBIO CLIMATICO",2,3,2,1
"14","CORRIENTES LITERARIAS MODERNAS Y CONTEMPORANEAS",2,2,2,2
"15","DE ALTEPETL AL AYUNTAMIENTO CONSTITUCIONAL. TIERRA Y GOBIERNO DE LOS PUEBLOS",2,2,2,2
"16","ECOLOGIA Y CAMBIO CLIMATICO",2,4,2,1
"17","EDUCACION AMBIENTAL",2,3,2,1
"18","ENERGIA Y AMBIENTE Y SU RELACION CON EL CAMBIO CLIMATICO",2,3,2,1
"19","FORMACIONES IMPERIALES CONTEMPORANEAS E IMPERIALISMO",2,2,2,2
"20","FUNDAMENTOS Y PROGRAMACION DE LOS CONTROLADORES LOGICOS PROGRAMABLES",2,5,1,1
"21","GESTION AMBIENTAL Y AUDITORIAS PARA EMPRESAS SUSTENTABLES",2,3,2,1
"22","IGUALDAD SOCIAL",2,2,2,2
"23","KARL MARX",2,2,2,2
"24","LA FENOMENOLOGIA DEL ESPIRITU DE HEGEL II",2,2,2,2
"25","SISTEMAS DE INFORMACION GEOGRAFICA PARA EL ANALISIS DEL CLIMA Y MEDIO AMBIENTE",2,3,2,1
