"","Materia","ModeIntNuncaCert","ProbNuncaCert","MaxIntNuncaCert"
"1","CONTROL DE GASES Y TRATAMIENTO DE LIQUIDOS INDUSTRIALES",3,0.0303030303030303,3
"2","MERLEAU-PONTY",3,0.0833333333333333,3
"3","SISTEMAS DE INFORMACION GEOGRAFICA PARA EL ANALISIS DEL CLIMA Y MEDIO AMBIENTE",3,0.0204081632653061,3
"4","ALEXY Y LA FUNDAMENTACION DE LOS DERECHOS HUMANOS",2,0.142857142857143,2
"5","CALCULO DIFERENCIAL E INTEGRAL",2,0.843881856540084,16
"6","CALCULO DIFERENCIAL E INTEGRAL I",2,1,2
"7","CALCULO DIFERENCIAL INTEGRAL",2,1,2
"8","CALCULO DIFERENCIAL INTEGRAL",2,0.845188284518828,16
"9","EDGAR MORIN",2,0.142857142857143,2
"10","FILOSOFIA DE LA PSICOLOGIA",2,0.25,2
