"","Materia","ModeIntSiCert","MaxIntSiCert","MeanIntSiCert"
"1","FARMACOLOGIA Y TOXICOLOGIA",3,5,2.48780487804878
"2","SOCIOANTROPOLOGIA POLITICA",3,3,3
"3","ACTORES SOCIALES MOVIMIENTOS Y SOCIEDAD CIVIL",2,2,1.75
"4","ADQUISICION Y MANIPULACION DE DATOS",2,2,1.63636363636364
"5","ANALISIS DEL TRANSPORTE COMO UN SISTEMA COMPLEJO Y DINAMICO",2,2,2
"6","ATMOSFERA Y CAMBIO CLIMATICO",2,5,2.57142857142857
"7","CALCULO DIFERENCIAL E INTEGRAL",2,18,5.5
"8","CALCULO DIFERENCIAL INTEGRAL",2,18,5.5
"9","CORRIENTES LITERARIAS MODERNAS Y CONTEMPORANEAS",2,2,2
"10","DE ALTEPETL AL AYUNTAMIENTO CONSTITUCIONAL. TIERRA Y GOBIERNO DE LOS PUEBLOS",2,2,2
"11","EPIDEMIOLOGIA MOLECULAR",2,3,1.85714285714286
"12","ESTADISTICA: TALLER DE INSTRUMENTACION DEL SPSS",2,2,1.53333333333333
"13","FORMACIONES IMPERIALES CONTEMPORANEAS E IMPERIALISMO",2,2,2
"14","GENOMICA I",2,3,1.76923076923077
"15","HUME",2,2,1.6
"16","IGUALDAD SOCIAL",2,2,2
"17","KARL MARX",2,2,2
"18","LA FENOMENOLOGIA DEL ESPIRITU DE HEGEL II",2,2,2
