"","Materia","ProbNuncaCert","MaxIntNuncaCert"
"1","ANALISIS SOCIAL Y CULTURAL DE LOS MOVIMIENTOS SOCIALES CULTURALES",1,1
"2","CALCULO DIFERENCIAL E INTEGRAL I",1,2
"3","CALCULO DIFERENCIAL INTEGRAL",1,2
"4","ESCEPTICISMO ANTIGUA Y MODERNO",1,1
"5","ESTUDIOS SOCIALES E HISTORICOS II MOD-II",1,1
"6","FILOSOFIA DEL LENGUAJE CLASICO",1,1
"7","FISICA III",1,1
"8","INTRODUCCION A LOS ESTUDIOS DEL LENGUAJE: ESCUELAS Y TEORIAS",1,1
"9","K. O. APEL PRAGMATICA TRASCENDENTAL Y ETICA DISCURSIVA",1,1
"10","LEGISLACION DEL ARTE Y PATRIMONIO CULTURAL",1,2
"11","LENGUA EXTRANJERA II",1,1
"12","LENGUA EXTRANJERA III",1,4
"13","METODOS CUALITATIVOS",1,1
"14","PARADIGMA CRITICO",1,1
"15","QUIMICA ORGANICA (QUIMICA DE LA CELULA)",1,1
"16","SER Y EL TIEMPO DE",1,1
"17","TALLER DE METODOS CUANTITATIVOS",1,1
"18","LITERATURA CONTEMPORANEA I",0.928571428571429,1
"19","ADMINISTRACION",0.923076923076923,1
"20","PROBABILIDAD Y ESTADISTICA",0.9,2
"21","PROBLEMAS DE HISTORIA CONTEMPORANEOS I",0.857142857142857,1
"22","FISICA I",0.856459330143541,5
"23","CALCULO DIFERENCIAL INTEGRAL",0.845188284518828,16
"24","CALCULO DIFERENCIAL E INTEGRAL",0.843881856540084,16
"25","FISICA GENERAL I (MECANICA)",0.833333333333333,2
"26","FREGE: TEORIA DEL SENTIDO",0.833333333333333,1
"27","TEORIA Y METODOS CUANTITATIVOS",0.833333333333333,1
"28","FISICA GENERAL I",0.829787234042553,3
"29","HEIDEGGER Y LA ESCUELA DE KYOTO",0.75,1
"30","LA TRASCENDENCIA DE LO QUE NOS IMPORTA: LA IMPORTANCIA DE LOS MOTIVOS PARA LA ACCION DE H. FRANKFURT",0.75,1
"31","PENSAMIENTO LATINOAMERICANO Y TEORIAS CRITICAS",0.75,1
"32","SEMINARIO MONOGRAFICO DE LA CIUDAD DE MEXICO",0.75,1
"33","TEORIA POLITICA DEL ESTADO MODERNO",0.75,1
